_id,title,lpNumber,aliases,areaName
6444d14ee7abb0665474a208,Pieter Claesen Wyckoff House,LP-00001,,Pieter Claesen Wyckoff House
6455b7e44673c82a34f4ecca,Commandant's House,LP-00002,,"Commandant's House, Quarters A"
64bc67c954ab1c604a34d1bc,U.S. Naval Hospital,LP-00003,,"Surgeon's House (Quarters ""R-I"")"
54fa99fa5c95965f78def7bf,Audubon Center at the Boathouse,LP-00004,Boathouse | Lullwater | Prospect Park Audubon Center,The Grecian Shelter
560f2c12f89701aedbaebc2c,Kingsland Homestead,LP-00005,,
643ec6364ac6203737fd6e74,Old Merchant's House,LP-00006,Seabury Tredwell House,Old Merchant's House (Seabury Tredwell House)
6450ca363879cf70e53ff047,Nicholas and Elizabeth Stuyvesant Fish House,LP-00007,Stuyvesant-Fish House,Stuyvesant-Fish House
646c28aa9e866c1d68eb57b7,William and Rosamond Clark House,LP-00008,51 Market Street House,51 Market Street House
64542f153879cf70e53ff0c5,Irad Hawley House,LP-00009,Salmagundi Club,Salmagundi Club
648a4f917c55b27c2c708012,428 Lafayette Street Building,LP-00010,La Grange Terrace | Colonnade Row,428 Lafayette Street Building (a part of La Grange Terrace)
648cbaeb7c55b27c2c708068,430 Lafayette Street Building,LP-00011,La Grange Terrace | Colonnade Row,430 Lafayette Street Building (a part of La Grange Terrace)
648cbbef7c55b27c2c70806a,432 Lafayette Street Building,LP-00012,La Grange Terrace | Colonnade Row,432 Lafayette Street Building (a part of La Grange Terrace)
648cbc737c55b27c2c70806b,434 Lafayette Street Building,LP-00013,La Grange Terrace | Colonnade Row,434 Lafayette Street Building (a part of La Grange Terrace)
644c7bcf3879cf70e53ff022,Astor Library,LP-00016,Joseph Papp Public Theater,Astor Library (Hebrew Immigrant Aid Society Building)
644056444ac6203737fd6e83,E. V. Haughwout Building,LP-00017,,E. V. Haughwout Building
64333b80a90bce6b6c83bafa,Friends Meeting House,LP-00018,Brotherhood Synagogue,Friends Meeting House
55f45291f58614cf075b761f,Alexander Hamilton U.S. Custom House,LP-00020,United States Custom House | National Museum of the American Indian and Federal Bankruptcy Court,United States Custom House
64331751a90bce6b6c83bae9,"Sailors' Snug Harbor, Building A",LP-00022,,"Building ""E"" (a dormitory facing Richmond Terrace)"
64341172a90bce6b6c83bb0f,"Sailors' Snug Harbor, Building B",LP-00023,,"Building ""E"" (a dormitory facing Richmond Terrace)"
6433182ca90bce6b6c83baea,"Sailors' Snug Harbor, Building C",LP-00024,,"Building ""E"" (a dormitory facing Richmond Terrace)"
643412f0a90bce6b6c83bb10,"Sailors' Snug Harbor, Building D",LP-00025,,"Building ""E"" (a dormitory facing Richmond Terrace)"
6477a5c8426b0f007933dcd7,"Sailors' Snug Harbor, Building E",LP-00026,,"Building ""E"" (a dormitory facing Richmond Terrace)"
6477ad3e426b0f007933dce5,"Sailors' Snug Harbor, Chapel",LP-00027,Veterans Memorial Hall,"Building ""E"" (a dormitory facing Richmond Terrace)"
560f498cf89701aedbaebc34,Castle Clinton National Monument,LP-00029,Castle Clinton,Battery Park Control House
56074e45f89701aedbaebb9d,Fraunces Tavern,LP-00030,,Fraunces Tavern
644057654ac6203737fd6e84,James Watson House,LP-00036,Rectory of the Shrine of Saint Elizabeth Ann Seton,James Watson House (a part of the Shrine of Blessed Elizabeth Seton)
6453162d3879cf70e53ff0ab,J. P. Morgan & Co. Building,LP-00039,,J. P. Morgan & Company Building (Morgan Guaranty Trust Company of New York)
6444d256e7abb0665474a209,National City Bank Building,LP-00040,Merchants' Exchange,First National City Bank
64532cc73879cf70e53ff0b0,Hanover Bank,LP-00042,India House,India House
56075274f89701aedbaebb9f,Federal Hall National Memorial,LP-00047,Federal Hall National Memorial | United States Custom House | U.S. Sub-Treasury,Federal Hall National Memorial
644058564ac6203737fd6e85,Trinity Church and Graveyard,LP-00048,,Trinity Church and Graveyard
644059284ac6203737fd6e86,Chamber of Commerce of the State of New York,LP-00053,Mega International Commercial Bank,Chamber of Commerce Building
6444d33ce7abb0665474a20a,Federal Reserve Bank of New York,LP-00054,,Federal Reserve Bank of New York
5625cbc9f89701aedbaebcd3,John Street Methodist Church,LP-00055,,John Street Methodist Church
646fc9449e866c1d68eb584a,191 Front Street Building,LP-00056,,189 Fulton Street Building
646fc89a9e866c1d68eb5849,193 Front Street Building,LP-00057,,189 Fulton Street Building
646fc8249e866c1d68eb5848,195 Front Street Building,LP-00058,,189 Fulton Street Building
646fd38c9e866c1d68eb5859,18 Fulton Street Building,LP-00059,,189 Fulton Street Building
646fcacb9e866c1d68eb584c,16 Fulton Street Building,LP-00060,,189 Fulton Street Building
6450b9a93879cf70e53ff03d,14 Fulton Street Building,LP-00061,,189 Fulton Street Building
646fcb4d9e866c1d68eb584d,12 Fulton Street Building,LP-00062,,189 Fulton Street Building
646fccff9e866c1d68eb584e,10 Fulton Street Building,LP-00063,,189 Fulton Street Building
646fcdaf9e866c1d68eb584f,8 Fulton Street Building,LP-00064,,189 Fulton Street Building
646fce0f9e866c1d68eb5850,6 Fulton Street Building,LP-00065,,189 Fulton Street Building
646fceb09e866c1d68eb5851,4 Fulton Street Building,LP-00066,,189 Fulton Street Building
646fcf159e866c1d68eb5852,2 Fulton Street Building,LP-00067,,189 Fulton Street Building
646fcfbc9e866c1d68eb5853,92 South Street Building,LP-00068,,189 Fulton Street Building
646fd03b9e866c1d68eb5854,91 South Street Building,LP-00069,,189 Fulton Street Building
646fd2249e866c1d68eb5857,167-171 John Street Building,LP-00070,,189 Fulton Street Building
646fd19a9e866c1d68eb5856,165 John Street Building,LP-00071,,189 Fulton Street Building
646fd0d29e866c1d68eb5855,159-163 John Street Building,LP-00072,,189 Fulton Street Building
646fc9b49e866c1d68eb584b,189 Front Street Building,LP-00073,,189 Fulton Street Building
648d5a7c7c55b27c2c70807a,Hickson W. Field Stores,LP-00074,"Baker, Carver & Morrell Building",170-176 John Street Building
648d4f5b7c55b27c2c708070,Saint Paul's Chapel and Graveyard,LP-00075,,St. Paul's Chapel and Graveyard
6442f7f794494a7b43e48352,New York County Lawyers' Association Building,LP-00076,,New York County Lawyers' Association Building
64420e4994494a7b43e48346,New York Evening Post Building,LP-00077,,Old New York Evening Post Building
648a50e77c55b27c2c708013,Saint Peter's Roman Catholic Church,LP-00078,,St. Peter's Church
646c111e9e866c1d68eb57ab,Municipal Building,LP-00079,,Municipal Building
55f71a4ff58614cf075b763b,New York City Hall,LP-00080,,Tweed Courthouse
